venue,mean,count
Himachal Pradesh Cricket Association Stadium,183.13333333333333,15
Narendra Modi Stadium,181.02173913043478,46
Brabourne Stadium,178.5185185185185,27
M Chinnaswamy Stadium,173.7450980392157,102
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,173.45833333333334,24
Arun Jaitley Stadium,172.06060606060606,99
Wankhede Stadium,171.640625,128
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,169.52941176470588,17
Punjab Cricket Association Stadium,168.27868852459017,61
Eden Gardens,167.88349514563106,103
